visibility,parent-FQN,method-name,param-list,return-type,tags
private,org.jitsi.videobridge.cc.vp8.VP8FrameProjection,nextExtendedPictureId,[],int,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.shim.ChannelShim,getExpire,[],int,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.util.config.JvbConfig,getCommandLineArgs,[],java.lang.String[],"{switches=false, ifs=false, static=true, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.AbstractEndpoint,getStatsId,[],java.lang.String,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.octo.OctoPacket,verifyMinLength,"[byte[], int, int, int]",boolean,"{switches=false, ifs=false, static=true, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=true, returns=true}"
public,org.jitsi.videobridge.Videobridge,getVersion,[],org.jitsi.utils.version.Version,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.cc.vp8.VP8FrameProjection,getSSRC,[],long,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.util.config.JvbConfig,getConfig,[],com.typesafe.config.Config,"{switches=false, ifs=false, static=true, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8Frame,getStartingSequenceNumber,[],int,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Conference,includeInStatistics,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.octo.OctoPacket,getMediaTypeId,[org.jitsi.utils.MediaType],int,"{switches=true, ifs=false, static=true, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=true, returns=true}"
public,org.jitsi.videobridge.LastNFilter,getLastNValue,[],java.lang.Integer,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.cc.BitrateController$TrackBitrateAllocation,getTargetBitrate,[],long,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=true, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.cc.BitrateController,getLastN,[],int,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.xmpp.ComponentImpl,getName,[],java.lang.String,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Conference,getName,[],org.jxmpp.jid.parts.Localpart,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Conference,getStatistics,[],org.jitsi.videobridge.Conference$Statistics,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Videobridge,getStatistics,[],org.jitsi.videobridge.Videobridge$Statistics,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.cc.BandwidthProbing,getSenderSSRC,[],long,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=true, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.shim.ContentShim,getMediaType,[],org.jitsi.utils.MediaType,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.octo.OctoEndpoints,getConference,[],org.jitsi.videobridge.Conference,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.octo.OctoTransceiver,getStreamInformationStore,[],org.jitsi.nlj.util.StreamInformationStore,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.shim.ConferenceShim,getConference,[],org.jitsi.videobridge.Conference,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.AbstractEndpoint,getConference,[],org.jitsi.videobridge.Conference,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.AbstractEndpoint,getLastActivity,[],long,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8FrameProjection,getVP8Frame,[],org.jitsi.videobridge.cc.vp8.VP8Frame,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.rest.ColibriWebSocketServlet,getService,[],org.jitsi.videobridge.rest.ColibriWebSocketService,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
