visibility,parent-FQN,method-name,param-list,return-type,tags
public,org.languagetool.AnalyzedTokenReadings,getAnalyzedToken,[int],org.languagetool.AnalyzedToken,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
,org.languagetool.rules.spelling.morfologik.WeightedSuggestion,getWeight,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.AnalyzedTokenReadings,getReadingsLength,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.gui.Configuration,isMultiThread,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.UserConfig,getLinguServices,[],org.languagetool.LinguServices,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.AnalyzedTokenReadings,isSentenceEnd,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.server.HTTPServerConfig,isStoppable,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.dev.wikipedia.AppliedRuleMatch,getRuleMatch,[],org.languagetool.rules.RuleMatch,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.dev.wikipedia.RuleMatchApplication,getRuleMatch,[],org.languagetool.rules.RuleMatch,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.ml.MLServerProto$MatchList$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.languagemodel.bert.grpc.BertLmProto$Mask$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
