visibility,parent-FQN,method-name,param-list,return-type,tags
public,com.turn.ttorrent.common.TorrentMetadataImpl,getFiles,[],java.util.List,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.http.HTTPAnnounceResponseMessage,getComplete,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.udp.UDPAnnounceResponseMessage,getComplete,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.tracker.Tracker,getAnnounceUrl,[],java.lang.String,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.PeerMessage$BitfieldMessage,getBitfield,[],java.util.BitSet,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.peer.SharingPeer,getClientVersion,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.announce.TrackerClient,getTrackerURI,[],java.net.URI,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.PeerMessage$RequestMessage,getPiece,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.PeerMessage$PieceMessage,getPiece,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.PeerMessage$CancelMessage,getPiece,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.AnnounceableInformationImpl,getAnnounce,[],java.lang.String,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.TorrentMetadataImpl,getAnnounce,[],java.lang.String,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.Handshake,getTorrentIdentifier,[],java.lang.String,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.PeerMessage$RequestMessage,getOffset,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.PeerMessage$PieceMessage,getOffset,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.PeerMessage$CancelMessage,getOffset,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.AnnounceableInformationImpl,getUploaded,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.http.HTTPAnnounceRequestMessage,getUploaded,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.udp.UDPAnnounceRequestMessage,getUploaded,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.tracker.TrackedPeer,getUploaded,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.tracker.TrackerRequestProcessor$1,isBadAddress,[java.lang.String],boolean,"{parameters=true, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.SharedTorrent,isInitialized,[],boolean,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
