schemaTuple,visited,timesVisited
producttypeweight,True,1
producttypeprivatemetadata,True,4
producttypemetadata,True,4
producttypeproducts,True,2
producttypetaxrate,True,1
producttypetaxtype,True,1
producttypevariantattributes,True,2
producttypeproductattributes,True,2
producttypeavailableattributes,True,2
productcountableconnectionpageinfo,True,60
productcountableconnectionedges,True,146
productcountableconnectiontotalcount,True,54
productcountableedgenode,True,146
productcountableedgecursor,True,1
taxtypedescription,True,1
taxtypetaxcode,True,1
attributeid,True,99
attributeproducttypes,False,0
attributeproductvarianttypes,False,0
attributeprivatemetadata,True,4
attributemetadata,True,4
attributeinputtype,False,0
attributename,True,120
attributeslug,True,75
attributevalues,True,28
attributevaluerequired,True,1
attributevisibleinstorefront,True,1
attributefilterableinstorefront,True,1
attributefilterableindashboard,True,1
attributeavailableingrid,True,1
attributetranslation,True,2
attributestorefrontsearchposition,True,1
producttypecountableconnectionpageinfo,True,12
producttypecountableconnectionedges,True,29
producttypecountableconnectiontotalcount,True,1
producttypecountableedgenode,True,29
producttypecountableedgecursor,False,0
attributevalueid,True,83
attributevaluename,True,136
attributevalueslug,True,29
attributevaluetranslation,True,3
attributevalueinputtype,True,1
attributevaluetranslationid,True,1
attributevaluetranslationname,True,4
attributevaluetranslationlanguage,True,2
attributetranslationid,True,1
attributetranslationname,True,3
attributetranslationlanguage,True,1
attributecountableconnectionpageinfo,True,15
attributecountableconnectionedges,True,77
attributecountableconnectiontotalcount,True,4
attributecountableedgenode,True,77
attributecountableedgecursor,False,0
categoryseotitle,True,17
categoryseodescription,True,17
categoryid,True,110
categoryname,True,145
categorydescription,False,0
categorydescriptionjson,True,2
categoryslug,True,2
categoryparent,True,3
categorylevel,False,0
categoryprivatemetadata,True,4
categorymetadata,True,4
categoryancestors,True,25
categoryproducts,True,31
categorychildren,True,20
categorybackgroundimage,True,19
categorytranslation,True,3
categorycountableconnectionpageinfo,True,20
categorycountableconnectionedges,True,71
categorycountableconnectiontotalcount,True,14
categorycountableedgenode,True,71
categorycountableedgecursor,False,0
imageurl,True,207
imagealt,True,85
categorytranslationseotitle,True,1
categorytranslationseodescription,True,1
categorytranslationid,True,1
categorytranslationname,True,4
categorytranslationdescription,False,0
categorytranslationdescriptionjson,True,1
categorytranslationlanguage,True,3
productvariantid,True,61
productvariantname,True,66
productvariantsku,True,64
productvariantproduct,True,46
productvarianttrackinventory,False,0
productvariantweight,True,1
productvariantprivatemetadata,True,4
productvariantmetadata,True,4
productvariantprice,True,2
productvariantpricing,True,52
productvariantattributes,True,45
productvariantcostprice,True,2
productvariantmargin,True,1
productvariantquantityordered,True,3
productvariantrevenue,True,2
productvariantimages,True,11
productvarianttranslation,True,2
productvariantdigitalcontent,True,2
productvariantstocks,True,3
productvariantquantityavailable,True,53
variantpricinginfoonsale,True,48
variantpricinginfodiscount,True,1
variantpricinginfodiscountlocalcurrency,True,2
variantpricinginfoprice,True,50
variantpricinginfopriceundiscounted,True,52
variantpricinginfopricelocalcurrency,True,2
taxedmoneycurrency,True,34
taxedmoneygross,True,206
taxedmoneynet,True,82
taxedmoneytax,False,0
selectedattributeattribute,True,78
selectedattributevalues,True,74
productimageid,True,23
productimagesortorder,False,0
productimagealt,True,20
productimageurl,True,23
productvarianttranslationid,False,0
productvarianttranslationname,True,5
productvarianttranslationlanguage,True,2
digitalcontentusedefaultsettings,False,0
digitalcontentautomaticfulfillment,False,0
digitalcontentproductvariant,False,0
digitalcontentcontentfile,True,1
digitalcontentmaxdownloads,False,0
digitalcontenturlvaliddays,False,0
digitalcontenturls,False,0
digitalcontentid,True,3
digitalcontentprivatemetadata,True,4
digitalcontentmetadata,True,4
digitalcontenturlcontent,False,0
digitalcontenturlcreated,False,0
digitalcontenturldownloadnum,False,0
digitalcontenturlid,False,0
digitalcontenturlurl,False,0
digitalcontenturltoken,False,0
stockwarehouse,True,5
stockproductvariant,True,3
stockquantity,True,5
stockid,True,7
