schemaTuple,visited,timesVisited
producttypeweight,True,1
producttypeprivatemetadata,False,0
producttypemetadata,False,0
producttypeproducts,False,0
producttypetaxrate,False,0
producttypetaxtype,True,6
producttypevariantattributes,True,10
producttypeproductattributes,True,10
producttypeavailableattributes,True,3
productcountableconnectionpageinfo,True,231
productcountableconnectionedges,True,257
productcountableconnectiontotalcount,True,215
productcountableedgenode,True,257
productcountableedgecursor,True,8
taxtypedescription,True,7
taxtypetaxcode,True,7
attributeid,True,364
attributeproducttypes,False,0
attributeproductvarianttypes,False,0
attributeprivatemetadata,False,0
attributemetadata,False,0
attributeinputtype,True,7
attributename,True,356
attributeslug,True,195
attributevalues,True,181
attributevaluerequired,True,9
attributevisibleinstorefront,True,12
attributefilterableinstorefront,True,12
attributefilterableindashboard,True,12
attributeavailableingrid,True,5
attributetranslation,True,8
attributestorefrontsearchposition,True,5
producttypecountableconnectionpageinfo,True,9
producttypecountableconnectionedges,True,11
producttypecountableconnectiontotalcount,False,0
producttypecountableedgenode,True,11
producttypecountableedgecursor,False,0
attributevalueid,True,356
attributevaluename,True,487
attributevalueslug,True,176
attributevaluetranslation,True,8
attributevalueinputtype,False,0
attributevaluetranslationid,True,8
attributevaluetranslationname,True,8
attributevaluetranslationlanguage,False,0
attributetranslationid,True,8
attributetranslationname,True,8
attributetranslationlanguage,False,0
attributecountableconnectionpageinfo,True,20
attributecountableconnectionedges,True,187
attributecountableconnectiontotalcount,True,10
attributecountableedgenode,True,187
attributecountableedgecursor,False,0
categoryseotitle,True,148
categoryseodescription,True,148
categoryid,True,522
categoryname,True,514
categorydescription,False,0
categorydescriptionjson,True,48
categoryslug,True,8
categoryparent,True,8
categorylevel,False,0
categoryprivatemetadata,False,0
categorymetadata,False,0
categoryancestors,True,100
categoryproducts,True,43
categorychildren,True,17
categorybackgroundimage,True,108
categorytranslation,True,40
categorycountableconnectionpageinfo,True,42
categorycountableconnectionedges,True,151
categorycountableconnectiontotalcount,True,16
categorycountableedgenode,True,151
categorycountableedgecursor,False,0
imageurl,True,880
imagealt,True,338
categorytranslationseotitle,True,40
categorytranslationseodescription,True,40
categorytranslationid,True,40
categorytranslationname,True,40
categorytranslationdescription,False,0
categorytranslationdescriptionjson,True,40
categorytranslationlanguage,True,40
productvariantid,True,199
productvariantname,True,162
productvariantsku,True,159
productvariantproduct,True,149
productvarianttrackinventory,True,16
productvariantweight,True,2
productvariantprivatemetadata,False,0
productvariantmetadata,False,0
productvariantprice,True,3
productvariantpricing,True,141
productvariantattributes,True,147
productvariantcostprice,True,2
productvariantmargin,True,1
productvariantquantityordered,True,1
productvariantrevenue,True,1
productvariantimages,True,23
productvarianttranslation,False,0
productvariantdigitalcontent,False,0
productvariantstocks,True,16
productvariantquantityavailable,True,162
variantpricinginfoonsale,True,131
variantpricinginfodiscount,False,0
variantpricinginfodiscountlocalcurrency,False,0
variantpricinginfoprice,True,131
variantpricinginfopriceundiscounted,True,141
variantpricinginfopricelocalcurrency,False,0
taxedmoneycurrency,True,40
taxedmoneygross,True,519
taxedmoneynet,True,369
taxedmoneytax,True,31
selectedattributeattribute,True,161
selectedattributevalues,True,175
productimageid,True,45
productimagesortorder,True,3
productimagealt,True,41
productimageurl,True,45
productvarianttranslationid,False,0
productvarianttranslationname,False,0
productvarianttranslationlanguage,False,0
digitalcontentusedefaultsettings,False,0
digitalcontentautomaticfulfillment,False,0
digitalcontentproductvariant,False,0
digitalcontentcontentfile,False,0
digitalcontentmaxdownloads,False,0
digitalcontenturlvaliddays,False,0
digitalcontenturls,False,0
digitalcontentid,False,0
digitalcontentprivatemetadata,False,0
digitalcontentmetadata,False,0
digitalcontenturlcontent,False,0
digitalcontenturlcreated,False,0
digitalcontenturldownloadnum,False,0
digitalcontenturlid,False,0
digitalcontenturlurl,False,0
digitalcontenturltoken,False,0
stockwarehouse,True,16
stockproductvariant,False,0
stockquantity,True,16
stockid,True,16
stockquantityallocated,True,16
productpricinginfoonsale,True,195
productpricinginfodiscount,False,0
productpricinginfodiscountlocalcurrency,False,0
productpricinginfopricerange,True,195
productpricinginfopricerangeundiscounted,True,213
productpricinginfopricerangelocalcurrency,False,0
taxedmoneyrangestart,True,408
taxedmoneyrangestop,True,408
marginstart,True,1
marginstop,True,1
collectionseotitle,True,18
collectionseodescription,True,18
collectionid,True,55
collectionname,True,48
collectiondescription,False,0
collectiondescriptionjson,True,12
collectionpublicationdate,True,7
collectionslug,True,6
collectionprivatemetadata,False,0
collectionmetadata,False,0
collectionproducts,True,15
collectionbackgroundimage,True,6
collectiontranslation,True,12
collectionispublished,True,8
collectiontranslationseotitle,True,12
collectiontranslationseodescription,True,12
collectiontranslationid,True,12
collectiontranslationname,True,12
collectiontranslationdescription,False,0
collectiontranslationdescriptionjson,True,12
collectiontranslationlanguage,True,12
collectiontranslatablecontentseotitle,False,0
collectiontranslatablecontentseodescription,False,0
collectiontranslatablecontentid,False,0
collectiontranslatablecontentname,False,0
collectiontranslatablecontentdescription,False,0
collectiontranslatablecontentdescriptionjson,False,0
collectiontranslatablecontenttranslation,False,0
collectiontranslatablecontentcollection,False,0
categorytranslatablecontentseotitle,False,0
categorytranslatablecontentseodescription,False,0
categorytranslatablecontentid,False,0
categorytranslatablecontentname,False,0
categorytranslatablecontentdescription,False,0
categorytranslatablecontentdescriptionjson,False,0
categorytranslatablecontenttranslation,False,0
categorytranslatablecontentcategory,False,0
attributetranslatablecontentid,False,0
attributetranslatablecontentname,False,0
attributetranslatablecontenttranslation,False,0
attributetranslatablecontentattribute,False,0
attributevaluetranslatablecontentid,False,0
attributevaluetranslatablecontentname,False,0
attributevaluetranslatablecontenttranslation,False,0
attributevaluetranslatablecontentattributevalue,False,0
productvarianttranslatablecontentid,False,0
productvarianttranslatablecontentname,False,0
productvarianttranslatablecontenttranslation,False,0
productvarianttranslatablecontentproductvariant,False,0
pagetranslatablecontentseotitle,True,1
pagetranslatablecontentseodescription,True,1
pagetranslatablecontentid,True,1
pagetranslatablecontenttitle,True,1
pagetranslatablecontentcontent,False,0
pagetranslatablecontentcontentjson,True,1
pagetranslatablecontenttranslation,True,1
pagetranslatablecontentpage,False,0
pagetranslationseotitle,True,6
pagetranslationseodescription,True,6
pagetranslationid,True,6
pagetranslationtitle,True,6
pagetranslationcontent,False,0
pagetranslationcontentjson,True,6
pagetranslationlanguage,True,6
pageseotitle,True,11
pageseodescription,True,11
pageid,True,28
pagetitle,True,28
pagecontent,False,0
pagecontentjson,True,11
pagepublicationdate,True,3
pageslug,True,13
pagecreated,False,0
pageprivatemetadata,False,0
pagemetadata,False,0
pagetranslation,True,5
pageispublished,True,9
shippingmethodtranslatablecontentid,False,0
shippingmethodtranslatablecontentname,False,0
shippingmethodtranslatablecontenttranslation,False,0
shippingmethodtranslatablecontentshippingmethod,False,0
saletranslatablecontentid,False,0
saletranslatablecontentname,False,0
saletranslatablecontenttranslation,False,0
saletranslatablecontentsale,False,0
saletranslationid,True,6
saletranslationname,True,6
saletranslationlanguage,True,6
saleid,True,24
salename,True,24
saletype,True,18
salevalue,True,18
salestartdate,True,18
saleenddate,True,18
salecategories,True,5
salecollections,True,5
saleproducts,True,5
saletranslation,True,6
collectioncountableconnectionpageinfo,True,12
collectioncountableconnectionedges,True,21
collectioncountableconnectiontotalcount,True,7
collectioncountableedgenode,True,21
collectioncountableedgecursor,False,0
vouchertranslatablecontentid,False,0
vouchertranslatablecontentname,False,0
vouchertranslatablecontenttranslation,False,0
vouchertranslatablecontentvoucher,False,0
vouchertranslationid,True,4
vouchertranslationname,True,4
vouchertranslationlanguage,True,4
voucherid,True,37
vouchername,True,4
vouchertype,True,2
vouchercode,True,35
voucherusagelimit,True,35
voucherused,True,2
voucherstartdate,True,33
voucherenddate,True,33
voucherapplyonceperorder,True,2
voucherapplyoncepercustomer,True,2
voucherdiscountvaluetype,True,33
voucherdiscountvalue,True,33
voucherminspent,True,33
vouchermincheckoutitemsquantity,True,33
vouchercategories,True,2
vouchercollections,True,2
voucherproducts,True,2
vouchercountries,True,33
vouchertranslation,True,4
menuitemtranslatablecontentid,False,0
menuitemtranslatablecontentname,False,0
menuitemtranslatablecontenttranslation,False,0
menuitemtranslatablecontentmenuitem,False,0
menuitemtranslationid,False,0
menuitemtranslationname,False,0
menuitemtranslationlanguage,False,0
menuitemid,True,17
menuitemname,True,12
menuitemmenu,False,0
menuitemparent,True,1
menuitemcategory,True,12
menuitemcollection,True,12
menuitempage,True,12
menuitemlevel,True,11
menuitemchildren,True,54
menuitemurl,True,12
menuitemtranslation,False,0
menuid,True,7
menuname,True,7
menuslug,False,0
menuitems,True,7
stockcountableconnectionpageinfo,False,0
stockcountableconnectionedges,False,0
stockcountableconnectiontotalcount,False,0
stockcountableedgenode,False,0
stockcountableedgecursor,False,0
shopavailablepaymentgateways,False,0
shopgeolocalization,False,0
shopauthorizationkeys,True,5
shopcountries,True,8
shopdefaultcountry,True,1
shopdefaultmailsendername,True,5
shopdefaultmailsenderaddress,True,5
shopdescription,True,5
shopdomain,True,6
shoplanguages,True,1
shopname,True,6
shoppermissions,True,1
shopphoneprefixes,False,0
shopheadertext,False,0
shopincludetaxesinprices,True,4
shopdisplaygrossprices,True,4
shopchargetaxesonshipping,True,3
shoptrackinventorybydefault,True,1
shopdefaultweightunit,True,2
shoptranslation,False,0
shopautomaticfulfillmentdigitalproducts,False,0
shopdefaultdigitalmaxdownloads,False,0
shopdefaultdigitalurlvaliddays,False,0
shopcompanyaddress,True,5
shopcustomersetpasswordurl,True,5
shopstaffnotificationrecipients,False,0
paymentgatewayname,True,76
paymentgatewayid,True,76
paymentgatewayconfig,True,76
paymentgatewaycurrencies,True,76
gatewayconfiglinefield,True,76
gatewayconfiglinevalue,True,76
geolocalizationcountry,False,0
authorizationkeyname,True,5
authorizationkeykey,True,5
domainhost,True,6
domainsslenabled,False,0
domainurl,True,1
navigationmain,False,0
navigationsecondary,False,0
shoptranslationid,False,0
shoptranslationheadertext,False,0
shoptranslationdescription,False,0
shoptranslationlanguage,False,0
staffnotificationrecipientuser,False,0
staffnotificationrecipientactive,False,0
staffnotificationrecipientid,False,0
staffnotificationrecipientemail,False,0
userid,True,175
userlastlogin,True,12
useremail,True,160
userfirstname,True,101
userlastname,True,101
userisstaff,True,11
userisactive,True,37
usernote,True,12
userdatejoined,True,12
userdefaultshippingaddress,True,34
userdefaultbillingaddress,True,34
userprivatemetadata,False,0
usermetadata,False,0
useraddresses,True,22
usercheckout,True,2
usergiftcards,False,0
userorders,True,31
useruserpermissions,True,19
userpermissiongroups,True,4
usereditablegroups,True,5
useravatar,True,35
userevents,False,0
userstoredpaymentsources,False,0
checkoutcreated,False,0
checkoutlastchange,False,0
checkoutuser,False,0
checkoutquantity,False,0
checkoutbillingaddress,True,76
checkoutshippingaddress,True,76
checkoutshippingmethod,True,76
checkoutnote,False,0
checkoutdiscount,True,76
checkoutdiscountname,True,76
checkouttranslateddiscountname,True,76
checkoutvouchercode,True,76
checkoutgiftcards,False,0
checkoutid,True,76
checkoutprivatemetadata,False,0
checkoutmetadata,False,0
checkoutavailableshippingmethods,True,76
checkoutavailablepaymentgateways,True,76
checkoutemail,True,76
checkoutisshippingrequired,True,76
checkoutlines,True,76
checkoutshippingprice,True,76
checkoutsubtotalprice,True,76
checkouttoken,True,76
checkouttotalprice,True,76
giftcardcode,False,0
giftcarduser,False,0
giftcardcreated,False,0
giftcardstartdate,False,0
giftcardenddate,False,0
giftcardlastusedon,False,0
giftcardisactive,False,0
giftcardinitialbalance,False,0
giftcardcurrentbalance,False,0
giftcardid,False,0
giftcarddisplaycode,False,0
checkoutlineid,True,76
checkoutlinevariant,True,76
checkoutlinequantity,True,76
checkoutlinetotalprice,True,76
checkoutlinerequiresshipping,False,0
giftcardcountableconnectionpageinfo,False,0
giftcardcountableconnectionedges,False,0
giftcardcountableconnectiontotalcount,False,0
giftcardcountableedgenode,False,0
giftcardcountableedgecursor,False,0
ordercountableconnectionpageinfo,True,20
ordercountableconnectionedges,True,40
ordercountableconnectiontotalcount,True,13
ordercountableedgenode,True,40
ordercountableedgecursor,False,0
orderid,True,104
ordercreated,True,71
orderstatus,True,70
orderuser,True,31
orderlanguagecode,False,0
ordertrackingclientid,False,0
orderbillingaddress,True,50
ordershippingaddress,True,51
ordershippingmethod,True,31
ordershippingmethodname,True,31
ordershippingprice,True,51
ordertoken,True,21
ordervoucher,False,0
ordergiftcards,False,0
orderdiscount,True,31
orderdiscountname,False,0
ordertranslateddiscountname,False,0
orderdisplaygrossprices,False,0
ordercustomernote,True,31
orderweight,False,0
orderprivatemetadata,False,0
ordermetadata,False,0
orderfulfillments,True,31
orderlines,True,65
orderactions,True,31
orderavailableshippingmethods,True,31
orderinvoices,True,42
ordernumber,True,94
orderispaid,False,0
orderpaymentstatus,True,80
orderpaymentstatusdisplay,True,20
orderpayments,False,0
ordertotal,True,81
ordersubtotal,True,51
orderstatusdisplay,True,21
ordercanfinalize,True,31
ordertotalauthorized,True,31
ordertotalcaptured,True,31
orderevents,True,31
ordertotalbalance,False,0
orderuseremail,True,70
orderisshippingrequired,False,0
fulfillmentid,True,31
fulfillmentfulfillmentorder,True,31
fulfillmentstatus,True,31
fulfillmenttrackingnumber,True,31
fulfillmentcreated,False,0
fulfillmentprivatemetadata,False,0
fulfillmentmetadata,False,0
fulfillmentlines,True,31
fulfillmentstatusdisplay,False,0
fulfillmentwarehouse,True,31
fulfillmentlineid,True,31
fulfillmentlinequantity,True,31
fulfillmentlineorderline,True,31
orderlineid,True,45
orderlineproductname,True,64
orderlinevariantname,False,0
orderlineproductsku,True,31
orderlineisshippingrequired,True,44
orderlinequantity,True,64
orderlinequantityfulfilled,True,44
orderlinetaxrate,False,0
orderlinedigitalcontenturl,False,0
orderlinethumbnail,True,46
orderlineunitprice,True,51
orderlinetotalprice,True,20
orderlinevariant,True,65
orderlinetranslatedproductname,False,0
orderlinetranslatedvariantname,False,0
orderlineallocations,True,13
allocationid,False,0
allocationquantity,True,13
allocationwarehouse,True,13
invoiceid,True,54
invoicemetadata,False,0
invoicestatus,True,54
invoicenumber,True,54
invoiceexternalurl,False,0
invoiceprivatemetadata,False,0
invoicecreatedat,True,54
invoiceupdatedat,False,0
invoicemessage,False,0
invoiceurl,True,54
jobstatus,False,0
jobcreatedat,False,0
jobupdatedat,False,0
jobmessage,False,0
paymentid,True,12
paymentgateway,True,11
paymentisactive,False,0
paymentcreated,False,0
paymentmodified,False,0
paymenttoken,True,11
paymentcheckout,False,0
paymentorder,False,0
paymentcustomeripaddress,False,0
paymentchargestatus,False,0
paymentactions,False,0
paymenttotal,True,11
paymentcapturedamount,True,2
paymenttransactions,False,0
paymentavailablecaptureamount,False,0
paymentavailablerefundamount,False,0
paymentcreditcard,True,11
transactionid,False,0
transactioncreated,False,0
transactionpayment,False,0
transactiontoken,False,0
transactionkind,False,0
transactionissuccess,False,0
transactionerror,False,0
transactionamount,False,0
creditcardbrand,True,11
creditcardfirstdigits,True,11
creditcardlastdigits,True,11
creditcardexpmonth,True,11
creditcardexpyear,True,11
ordereventid,True,40
ordereventdate,True,40
ordereventtype,True,40
ordereventuser,True,40
ordereventmessage,True,40
ordereventemail,True,40
ordereventemailtype,True,40
ordereventamount,True,40
ordereventpaymentid,False,0
ordereventpaymentgateway,False,0
ordereventquantity,True,40
ordereventcomposedid,True,1
ordereventordernumber,True,1
ordereventinvoicenumber,True,39
ordereventoversolditems,True,1
ordereventlines,False,0
ordereventfulfilleditems,False,0
ordereventwarehouse,False,0
ordereventorderlineobjectquantity,False,0
ordereventorderlineobjectorderline,False,0
ordereventorderlineobjectitemname,False,0
userpermissioncode,True,19
userpermissionname,True,14
userpermissionsourcepermissiongroups,True,5
groupid,True,27
groupname,True,17
grouppermissions,True,11
groupusers,True,23
groupusercanmanage,True,17
customereventid,False,0
customereventdate,False,0
customereventtype,False,0
customereventuser,False,0
customereventmessage,False,0
customereventcount,False,0
customereventorder,False,0
customereventorderline,False,0
paymentsourcegateway,False,0
paymentsourcecreditcardinfo,False,0
digitalcontentcountableconnectionpageinfo,False,0
digitalcontentcountableconnectionedges,False,0
digitalcontentcountableconnectiontotalcount,False,0
digitalcontentcountableedgenode,False,0
digitalcontentcountableedgecursor,False,0
productvariantcountableconnectionpageinfo,False,0
productvariantcountableconnectionedges,True,18
productvariantcountableconnectiontotalcount,False,0
productvariantcountableedgenode,True,18
productvariantcountableedgecursor,False,0
paymentcountableconnectionpageinfo,False,0
paymentcountableconnectionedges,True,1
paymentcountableconnectiontotalcount,False,0
paymentcountableedgenode,True,1
paymentcountableedgecursor,False,0
pagecountableconnectionpageinfo,True,10
pagecountableconnectionedges,True,10
pagecountableconnectiontotalcount,False,0
pagecountableedgenode,True,10
pagecountableedgecursor,False,0
ordereventcountableconnectionpageinfo,False,0
ordereventcountableconnectionedges,True,1
ordereventcountableconnectiontotalcount,False,0
ordereventcountableedgenode,True,1
ordereventcountableedgecursor,False,0
menucountableconnectionpageinfo,True,4
menucountableconnectionedges,True,4
menucountableconnectiontotalcount,False,0
menucountableedgenode,True,4
menucountableedgecursor,False,0
menuitemcountableconnectionpageinfo,False,0
menuitemcountableconnectionedges,False,0
menuitemcountableconnectiontotalcount,False,0
menuitemcountableedgenode,False,0
menuitemcountableedgecursor,False,0
pluginid,True,20
pluginname,True,20
plugindescription,True,20
pluginactive,True,20
pluginconfiguration,True,11
configurationitemname,True,11
configurationitemvalue,True,11
configurationitemtype,True,11
configurationitemhelptext,True,11
configurationitemlabel,True,11
plugincountableconnectionpageinfo,True,9
plugincountableconnectionedges,True,9
plugincountableconnectiontotalcount,False,0
plugincountableedgenode,True,9
plugincountableedgecursor,False,0
salecountableconnectionpageinfo,True,9
salecountableconnectionedges,True,9
salecountableconnectiontotalcount,False,0
salecountableedgenode,True,9
salecountableedgecursor,False,0
vouchercountableconnectionpageinfo,True,35
vouchercountableconnectionedges,True,35
vouchercountableconnectiontotalcount,False,0
vouchercountableedgenode,True,35
vouchercountableedgecursor,False,0
exportfileid,True,6
exportfileuser,False,0
exportfileapp,False,0
exportfilestatus,True,6
exportfilecreatedat,False,0
exportfileupdatedat,False,0
exportfilemessage,False,0
exportfileurl,True,3
exportfileevents,False,0
exporteventid,False,0
exporteventdate,False,0
exporteventtype,False,0
exporteventuser,False,0
exporteventapp,False,0
exporteventmessage,False,0
exportfilecountableconnectionpageinfo,False,0
exportfilecountableconnectionedges,False,0
exportfilecountableconnectiontotalcount,False,0
exportfilecountableedgenode,False,0
exportfilecountableedgecursor,False,0
checkoutcountableconnectionpageinfo,False,0
checkoutcountableconnectionedges,False,0
checkoutcountableconnectiontotalcount,False,0
checkoutcountableedgenode,False,0
checkoutcountableedgecursor,False,0
checkoutlinecountableconnectionpageinfo,False,0
checkoutlinecountableconnectionedges,False,0
checkoutlinecountableconnectiontotalcount,False,0
checkoutlinecountableedgenode,False,0
checkoutlinecountableedgecursor,False,0
appinstallationappname,True,1
appinstallationmanifesturl,True,1
appinstallationid,True,1
appinstallationstatus,True,1
appinstallationcreatedat,False,0
appinstallationupdatedat,False,0
appinstallationmessage,True,1
appcountableconnectionpageinfo,True,2
appcountableconnectionedges,True,2
appcountableconnectiontotalcount,True,2
appcountableedgenode,True,2
appcountableedgecursor,False,0
addressvalidationdatacountrycode,False,0
addressvalidationdatacountryname,False,0
addressvalidationdataaddressformat,False,0
addressvalidationdataaddresslatinformat,False,0
addressvalidationdataallowedfields,False,0
addressvalidationdatarequiredfields,False,0
addressvalidationdataupperfields,False,0
addressvalidationdatacountryareatype,False,0
addressvalidationdatacountryareachoices,False,0
addressvalidationdatacitytype,False,0
addressvalidationdatacitychoices,False,0
addressvalidationdatacityareatype,False,0
addressvalidationdatacityareachoices,False,0
addressvalidationdatapostalcodetype,False,0
addressvalidationdatapostalcodematchers,False,0
addressvalidationdatapostalcodeexamples,False,0
addressvalidationdatapostalcodeprefix,False,0
choicevalueraw,False,0
choicevalueverbose,False,0
usercountableconnectionpageinfo,True,30
usercountableconnectionedges,True,30
usercountableconnectiontotalcount,False,0
usercountableedgenode,True,30
usercountableedgecursor,True,3
groupcountableconnectionpageinfo,True,2
groupcountableconnectionedges,True,2
groupcountableconnectiontotalcount,False,0
groupcountableedgenode,True,2
groupcountableedgecursor,False,0
serviceaccountcountableconnectionpageinfo,False,0
serviceaccountcountableconnectionedges,False,0
serviceaccountcountableconnectiontotalcount,False,0
serviceaccountcountableedgenode,False,0
serviceaccountcountableedgecursor,False,0
mutationwebhookcreate,False,0
mutationwebhookdelete,False,0
mutationwebhookupdate,False,0
mutationcreatewarehouse,False,0
mutationupdatewarehouse,False,0
mutationdeletewarehouse,False,0
mutationassignwarehouseshippingzone,False,0
mutationunassignwarehouseshippingzone,False,0
mutationauthorizationkeyadd,False,0
mutationauthorizationkeydelete,False,0
mutationstaffnotificationrecipientcreate,False,0
mutationstaffnotificationrecipientupdate,False,0
mutationstaffnotificationrecipientdelete,False,0
mutationhomepagecollectionupdate,False,0
mutationshopdomainupdate,False,0
mutationshopsettingsupdate,False,0
mutationshopfetchtaxrates,False,0
mutationshopsettingstranslate,False,0
mutationshopaddressupdate,False,0
mutationshippingpricecreate,False,0
mutationshippingpricedelete,False,0
mutationshippingpricebulkdelete,False,0
mutationshippingpriceupdate,False,0
mutationshippingpricetranslate,False,0
mutationshippingzonecreate,False,0
mutationshippingzonedelete,False,0
