,schemaTuple,visitedTest,timesVisitedTest,visitedProd,timesVisitedProd,id
94,metaclientstoremetadata,False,0,False,0,
95,metaitemkey,False,0,False,0,
96,metaitemvalue,False,0,False,0,
97,permissioncode,True,23,True,11,a6ed9b4a-ef69-5b41-ad93-25d8b4e35ec5
98,permissionname,True,15,True,11,a6ed9b4a-ef69-5b41-ad93-25d8b4e35ec5
99,serviceaccounttokenname,False,0,False,0,
100,serviceaccounttokenauthtoken,False,0,False,0,
101,serviceaccounttokenid,False,0,False,0,
102,appid,True,8,True,6,60266ab2-c801-5b24-8323-04c77978eaaf
103,appname,True,38,True,6,60266ab2-c801-5b24-8323-04c77978eaaf
104,appcreated,True,3,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
105,appisactive,True,8,True,3,9ee172d0-207c-546e-a8de-772d127eee76
106,apppermissions,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
107,apptokens,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
108,appprivatemetadata,True,4,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
109,appmetadata,True,4,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
110,apptype,True,8,True,3,9ee172d0-207c-546e-a8de-772d127eee76
111,appwebhooks,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
112,appaboutapp,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
113,appdataprivacy,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
114,appdataprivacyurl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
115,apphomepageurl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
116,appsupporturl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
117,appconfigurationurl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
118,appappurl,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
119,appversion,False,0,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
120,appaccesstoken,True,3,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
121,apptokenname,False,0,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
122,apptokenauthtoken,True,8,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
123,apptokenid,False,0,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
124,webhookcountableconnectionpageinfo,False,0,False,0,
125,webhookcountableconnectionedges,False,0,False,0,
126,webhookcountableconnectiontotalcount,False,0,False,0,
127,pageinfohasnextpage,True,267,True,190,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
128,pageinfohaspreviouspage,True,265,True,188,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
129,pageinfostartcursor,True,265,True,188,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
130,pageinfoendcursor,True,266,True,190,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
131,webhookcountableedgenode,False,0,False,0,
132,webhookcountableedgecursor,False,0,False,0,
133,warehouseid,True,18,True,32,2367594c-e4f7-5fb3-9d1d-780a31269703
134,warehousename,True,21,True,12,2367594c-e4f7-5fb3-9d1d-780a31269703
135,warehouseslug,False,0,False,0,
136,warehousecompanyname,True,11,False,0,
137,warehouseshippingzones,True,5,True,8,8066442d-d5c3-54fe-bea1-3caaab6410ec
138,warehouseaddress,True,5,True,4,b745eb61-8ebb-5dfe-86cd-c5df52821d23
139,warehouseemail,True,11,False,0,
140,shippingzonecountableconnectionpageinfo,False,0,True,1,8e3d7973-6525-520c-9788-e69dca22add3
141,shippingzonecountableconnectionedges,True,6,True,9,8066442d-d5c3-54fe-bea1-3caaab6410ec
142,shippingzonecountableconnectiontotalcount,True,1,False,0,
143,shippingzonecountableedgenode,True,6,True,9,8066442d-d5c3-54fe-bea1-3caaab6410ec
144,shippingzonecountableedgecursor,False,0,False,0,
145,shippingzoneid,True,1,True,9,8066442d-d5c3-54fe-bea1-3caaab6410ec
146,shippingzonename,True,8,True,9,8066442d-d5c3-54fe-bea1-3caaab6410ec
147,shippingzonedefault,False,0,False,0,
148,shippingzonepricerange,True,2,False,0,
149,shippingzonecountries,True,5,True,1,8e3d7973-6525-520c-9788-e69dca22add3
150,shippingzoneshippingmethods,True,4,False,0,
151,shippingzonewarehouses,True,1,False,0,
152,moneyrangestart,True,3,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
153,moneyrangestop,True,3,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
154,moneycurrency,True,230,True,197,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
155,moneyamount,True,352,True,197,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
156,countrydisplaycode,True,67,True,38,d6f254aa-3f13-57f7-ba3d-a9803751676b
157,countrydisplaycountry,True,55,True,38,d6f254aa-3f13-57f7-ba3d-a9803751676b
158,countrydisplayvat,True,2,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
159,vatcountrycode,False,0,False,0,
160,vatstandardrate,True,2,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
161,vatreducedrates,True,1,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
162,reducedraterate,True,1,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
163,reducedrateratetype,True,1,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
164,shippingmethodid,True,27,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
165,shippingmethodname,True,31,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
166,shippingmethodprice,True,29,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
167,shippingmethodminimumorderprice,True,1,False,0,
168,shippingmethodmaximumorderprice,False,0,False,0,
169,shippingmethodminimumorderweight,True,2,False,0,
170,shippingmethodmaximumorderweight,True,2,False,0,
171,shippingmethodtype,True,2,False,0,
172,shippingmethodtranslation,True,2,False,0,
173,weightunit,True,16,True,2,2367594c-e4f7-5fb3-9d1d-780a31269703
174,weightvalue,True,16,True,2,2367594c-e4f7-5fb3-9d1d-780a31269703
175,shippingmethodtranslationid,False,0,False,0,
176,shippingmethodtranslationname,True,4,False,0,
177,shippingmethodtranslationlanguage,True,2,False,0,
178,languagedisplaycode,True,31,True,8,9e47fdf0-8381-54c5-ad61-17dcef1a425d
179,languagedisplaylanguage,True,12,True,21,19bf81c6-5af8-5654-823f-cc9970b2ab14
180,addressid,True,43,True,38,d6f254aa-3f13-57f7-ba3d-a9803751676b
181,addressfirstname,True,71,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
182,addresslastname,True,71,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
183,addresscompanyname,True,48,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
184,addressstreetaddress1,True,71,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
185,addressstreetaddress2,True,70,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
186,addresscity,True,59,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
187,addresscityarea,True,19,True,24,021b168f-c1e0-5dae-96fa-8f48c76d685b
188,addresspostalcode,True,59,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
189,addresscountry,True,54,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
190,addresscountryarea,True,48,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
191,addressphone,True,71,True,30,d6f254aa-3f13-57f7-ba3d-a9803751676b
192,addressisdefaultshippingaddress,True,44,True,6,d6f254aa-3f13-57f7-ba3d-a9803751676b
193,addressisdefaultbillingaddress,True,44,True,6,d6f254aa-3f13-57f7-ba3d-a9803751676b
194,warehousecountableconnectionpageinfo,True,5,True,5,8066442d-d5c3-54fe-bea1-3caaab6410ec
195,warehousecountableconnectionedges,True,12,True,6,8066442d-d5c3-54fe-bea1-3caaab6410ec
196,warehousecountableconnectiontotalcount,True,7,False,0,
197,warehousecountableedgenode,True,12,True,6,8066442d-d5c3-54fe-bea1-3caaab6410ec
198,warehousecountableedgecursor,False,0,False,0,
199,translatableitemconnectionpageinfo,False,0,False,0,
200,translatableitemconnectionedges,True,12,False,0,
201,translatableitemconnectiontotalcount,False,0,False,0,
202,translatableitemedgenode,True,12,False,0,
203,translatableitemedgecursor,False,0,False,0,
204,producttranslatablecontentid,True,3,False,0,
205,producttranslatablecontentseotitle,False,0,False,0,
206,producttranslatablecontentseodescription,False,0,False,0,
207,producttranslatablecontentname,True,4,False,0,
208,producttranslatablecontentdescription,False,0,False,0,
209,producttranslatablecontentdescriptionjson,False,0,False,0,
210,producttranslatablecontenttranslation,True,4,False,0,
211,producttranslatablecontentproduct,True,3,False,0,
212,producttranslationid,True,8,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
213,producttranslationseotitle,True,8,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
214,producttranslationseodescription,True,8,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
215,producttranslationname,True,14,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
216,producttranslationdescription,False,0,False,0,
217,producttranslationdescriptionjson,True,8,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
218,producttranslationlanguage,True,10,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
219,productid,True,161,True,113,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
220,productseotitle,True,19,True,17,aab5d543-5d43-5852-9dc6-de6993ce09c3
221,productseodescription,True,19,True,17,aab5d543-5d43-5852-9dc6-de6993ce09c3
222,productname,True,175,True,112,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
223,productdescription,True,2,False,0,
224,productdescriptionjson,True,18,True,17,aab5d543-5d43-5852-9dc6-de6993ce09c3
225,productpublicationdate,True,2,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
226,productproducttype,True,46,True,23,fde2fd5f-b03b-53c5-8d01-0ef066c70882
227,productslug,True,16,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
228,productcategory,True,40,True,76,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
229,productupdatedat,True,10,False,0,
230,productchargetaxes,False,0,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
231,productweight,True,10,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
232,productavailableforpurchase,True,20,True,15,aab5d543-5d43-5852-9dc6-de6993ce09c3
233,productvisibleinlistings,True,10,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
234,productdefaultvariant,False,0,True,3,2367594c-e4f7-5fb3-9d1d-780a31269703
235,productprivatemetadata,True,4,False,0,
236,productmetadata,True,4,False,0,
237,productthumbnail,True,170,True,186,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
238,productpricing,True,55,True,73,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
239,productisavailable,True,21,True,22,1146ff2a-92ed-5954-b529-eba1c7e85852
240,productminimalvariantprice,False,0,False,0,
241,producttaxtype,False,0,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
242,productattributes,True,35,True,19,aab5d543-5d43-5852-9dc6-de6993ce09c3
243,productpurchasecost,True,2,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
244,productmargin,True,2,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
245,productimagebyid,True,1,False,0,
246,productvariants,True,17,True,18,aab5d543-5d43-5852-9dc6-de6993ce09c3
247,productimages,True,12,True,16,aab5d543-5d43-5852-9dc6-de6993ce09c3
248,productcollections,True,1,True,1,2367594c-e4f7-5fb3-9d1d-780a31269703
249,producttranslation,True,10,True,2,2f0c97aa-19e3-5e5a-8fec-50e3dd59c7d9
250,productisavailableforpurchase,True,20,True,15,aab5d543-5d43-5852-9dc6-de6993ce09c3
251,productispublished,True,22,True,4,2367594c-e4f7-5fb3-9d1d-780a31269703
252,producttypeid,True,44,True,34,fde2fd5f-b03b-53c5-8d01-0ef066c70882
253,producttypename,True,49,True,13,1146ff2a-92ed-5954-b529-eba1c7e85852
254,producttypeslug,False,0,False,0,
255,producttypehasvariants,True,6,True,6,2367594c-e4f7-5fb3-9d1d-780a31269703
256,producttypeisshippingrequired,True,28,True,14,fde2fd5f-b03b-53c5-8d01-0ef066c70882
257,producttypeisdigital,False,0,False,0,
258,producttypeweight,True,1,False,0,
259,producttypeprivatemetadata,True,4,False,0,
260,producttypemetadata,True,4,False,0,
261,producttypeproducts,True,2,False,0,
262,producttypetaxrate,True,1,False,0,
263,producttypetaxtype,True,1,True,3,2367594c-e4f7-5fb3-9d1d-780a31269703
264,producttypevariantattributes,True,2,True,4,2367594c-e4f7-5fb3-9d1d-780a31269703
265,producttypeproductattributes,True,2,True,3,2f06f8f2-e133-54e6-9a86-48ed8c93c02d
266,producttypeavailableattributes,True,2,True,6,f04538ab-2373-5e10-9504-8de3d3632e73
267,productcountableconnectionpageinfo,True,60,True,74,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
268,productcountableconnectionedges,True,146,True,93,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
269,productcountableconnectiontotalcount,True,54,True,58,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
270,productcountableedgenode,True,146,True,93,b659efb9-bdb4-5d65-a4f3-d1dc2d69a1fe
271,productcountableedgecursor,True,1,True,4,1146ff2a-92ed-5954-b529-eba1c7e85852
272,taxtypedescription,True,1,True,4,2367594c-e4f7-5fb3-9d1d-780a31269703
273,taxtypetaxcode,True,1,True,4,2367594c-e4f7-5fb3-9d1d-780a31269703
274,attributeid,True,99,True,113,abbb5a1a-9bf6-515c-b736-94054e370f68
275,attributeproducttypes,False,0,False,0,
276,attributeproductvarianttypes,False,0,False,0,
277,attributeprivatemetadata,True,4,False,0,
278,attributemetadata,True,4,False,0,
279,attributeinputtype,False,0,True,5,2367594c-e4f7-5fb3-9d1d-780a31269703
280,attributename,True,120,True,110,abbb5a1a-9bf6-515c-b736-94054e370f68
281,attributeslug,True,75,True,67,abbb5a1a-9bf6-515c-b736-94054e370f68
282,attributevalues,True,28,True,51,abbb5a1a-9bf6-515c-b736-94054e370f68
283,attributevaluerequired,True,1,True,6,2367594c-e4f7-5fb3-9d1d-780a31269703
284,attributevisibleinstorefront,True,1,True,3,6deda921-8aaf-5217-8b24-91582467814a
285,attributefilterableinstorefront,True,1,True,3,6deda921-8aaf-5217-8b24-91582467814a
286,attributefilterableindashboard,True,1,True,3,6deda921-8aaf-5217-8b24-91582467814a
287,attributeavailableingrid,True,1,True,2,6deda921-8aaf-5217-8b24-91582467814a
288,attributetranslation,True,2,True,2,750c5a5f-7b07-5dc0-b108-aba10e026cf0
289,attributestorefrontsearchposition,True,1,True,2,6deda921-8aaf-5217-8b24-91582467814a
290,producttypecountableconnectionpageinfo,True,12,True,4,2f06f8f2-e133-54e6-9a86-48ed8c93c02d
291,producttypecountableconnectionedges,True,29,True,5,2f06f8f2-e133-54e6-9a86-48ed8c93c02d
