65,1
71,1
92,4
93,3
110,4
111,3
130,4
131,2
146,3
147,3
162,3
163,3
189,2
193,2
198,1
208,2
212,2
232,2
233,1
238,1
239,4
242,2
249,4
251,1
258,2
259,1
260,1
262,1
267,1
268,2
271,1
274,2
278,2
286,2
297,1
314,3
320,2
321,1
326,1
327,2
331,1
335,1
336,2
338,2
340,2
344,1
349,2
357,1
358,1
363,2
367,1
369,2
376,2
379,2
388,2
389,2
391,1
393,1
401,1
405,1
407,1
420,1
422,1
428,2
430,1
442,1
443,2
445,1
448,1
449,2
452,1
457,1
462,2
468,1
473,2
475,2
479,1
485,2
488,1
494,1
505,1
507,2
511,2
513,1
517,2
523,3
525,1
530,1
531,1
536,2
537,1
548,2
552,1
562,2
565,2
573,4
576,2
583,1
593,4
595,1
603,2
616,2
619,3
624,1
627,1
629,1
632,1
634,1
637,1
643,4
655,1
662,2
668,1
670,1
674,1
679,2
680,1
684,2
685,1
